コード,略称,名称,名称,カタカナ,郵便番号,住所1,住所2,TEL,FAX,携帯,社員ID,社員氏名,アシスタントID,アシスタント氏名,適格事業者登録番号,免税事業者,事業所ID,事業所名,部署コード,部署名,得意先,一般仕入,外注仕入,得意先締日,支払サイクル,支払日,回収区分,基準金額,以上回収条件,以上手形サイト,以上回収方法,未満回収条件,未満手形サイト,未満回収方法,諸口売り,消費税算出区分,インボイス,消費税端数処理,金額端数処理,送り状単価印字,与信限度額,月間取引限度額,請求書発行優先,納品書発行優先,納品書書式,受注用FAX番号,ミルシート送付方法,相殺仕入先,請求書送付先,納品書送付先,領収書送付先,与信額登録先,ミルシート送付先,比重区分,重量計算区分,納品区分,納品号車,代表者氏名,代表者住所,業種1,業種2,業種3,取扱品目,創立年月日,資本金,従業員数,平均月商,粗利益率,決算売上額,納品締切日,取引銀行1,取引銀行2,取引銀行3,主要仕入先1,主要仕入先2,主要仕入先3,主要販売先1,主要販売先2,主要販売先3,仕入先締め日,支払サイクル2,支払日,基準金額,以上支払条件,以上手形サイト,未満支払条件,未満支払条件,附帯条件,消費税算出区分,消費税端数処理,金額端数処理,発注書FAX処理,発注書FAX送信番号,発注書担当者名,仕入納品区分,仕入号車,納品先,受注不可,使用不可,発注書形式,緯度,経度,登録日
1550,㈲岡田鉄工,㈲岡田鉄工,,ｵｶﾀﾞﾃｯｺｳ,527-0057,滋賀県東近江市岡田町159,,0748-23-7235,0748-23-7235,,86,安居享子,162,若林知美,,,2,滋賀,201,(滋賀)営業２Ｇ,-1,-1,,20,当月,31,一律条件,\0,振込,,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字する,100,,PDF,PDF,納品書,,,,1550,1550,1550,1550,,JIS,通常,83,0,岡田　武,同上,製造業,金属加工,,ステンレス鋼,1979/9,"\3,000",4,,,,20,滋賀（八日市東）,,,㈱オーケーエム,,,㈱オーケーエム,,,31,翌月,20,\0,振込,,,0,,請求書,四捨五入,四捨五入,自動送信しない,,,"9,001",,,0,0,B5,35.092213,136.248795,09/04/09
1551,オーエヌ工業㈱,オーエヌ工業㈱,,ｵｰｴﾇｺｳｷﾞｮｳ ONｺｳｷﾞｮｳ,708-0015,岡山県津山市神戸466,,0868-28-0171,0868-28-4254,,99,木下誠,0,*,,,1,本社,105,営業開発,,-1,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,翌月,15,\100,支払手形(池田),135,振込,27,,請求書,四捨五入,四捨五入,自動送信しない,,,"9,001",,,0,0,B5,35.064636,133.942947,09/03/18
1552,岡村機工㈱,岡村機工㈱,,ｵｶﾑﾗｷｺｳ,503-1532,岐阜県不破郡関ヶ原町野上740,,0584-43-5777,0584-24-0007,,95,尾﨑利喜,59,松田布由子,,,2,滋賀,201,(滋賀)営業２Ｇ,-1,,,20,翌月,10,以上/未満,\300,受取手形(発行),120,送金(滋賀),振込,,振込(滋賀),あり,請求書,-1,四捨五入,四捨五入,印字しない,3000,,発行:郵送,通常,納品書,,,,1552,1552,1552,1552,,通常,通常,84,,岡村　希光,,プレス,鈑金,,アルミ・ＳＳ・ＳＵＳ,Jan-53,"\10,000",37,"\40,000",\0,\0,,大垣共立(垂井),,,坂口金属,,,太平洋精工,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,35.366051,136.494568,09/03/25
1553,㈱オーミック,㈱オーミック,,ｵｰﾐｯｸ,520-3042,滋賀県栗東市辻600-1,,077-554-1871,077-554-1872,,89,奥井淳一,173,西村奈那香,,,2,滋賀,201,(滋賀)営業２Ｇ,-1,,,31,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,5000,,PDF,PDF,納品書,,,,1553,1553,1553,1553,,通常,通常,81,,神谷　廣幸,滋賀県栗東市小野1001-1,電子部品,機械工具,製造　加工,ステンレス　鉄　チタン,Feb-72,"\62,500",82,"\200,000",\0,"\2,374,000",,滋賀　守山,三菱東京UFJ　草津,,白銅,大同スペシャル,,京セラ,日本エム・ディ・エム,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,35.036938,136.010315,14/04/22
1554,大山工業㈱,大山工業㈱,,ｵｵﾔﾏｺｳｷﾞｮｳ,494-0012,愛知県一宮市明地字東下城105,,0586-69-3335,0586-69-1600,,17,加藤聖也,59,樋口布由子,T6180001084176,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,-1,20,翌月,15,一律条件,\0,振込,,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,1000,,発行:郵送,通常,納品書,0586-69-1600,,1554,1554,1554,1554,1554,,通常,通常,84,,大山剛史,,鋼材加工,,,SS　SUS,Feb-59,"\10,000",5,"\15,000",\0,"\180,000",,三菱東京UFJ　尾西,,,奥田スチール,,,奥田スチール,,,31,翌月,20,\0,振込,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,84,,,0,0,B5,35.283859,136.741959,14/07/10
1555,㈱大野溶接所,㈱大野溶接所,,ｵｵﾉﾖｳｾﾂｼﾞｮ,500-8246,岐阜県岐阜市下川手129-2,,058-272-6643,058-272-4351,,17,加藤聖也,171,小松莉奈,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,-1,31,翌月,25,一律条件,\0,振込,,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,2000,,PDF,PDF,納品書,058-272-4351,,,1555,1555,1555,1555,,通常,通常,84,,大野　隆,岐阜県岐阜市下川手129-2,溶接加工,,,SS　SUS,Dec-73,"\10,000",4,"\4,000",\0,\0,,岐阜信金,,,岐阜酸素,アレックカワイ,杉山商店,三ツ星ベルト,日本IAC,徳田工業㈱,31,翌月,31,,振込,,振込,27,,明細,四捨五入,四捨五入,自動送信しない,,,"9,001",,,0,0,B5,35.395195,136.769104,14/10/31
1556,㈱荻野工業所,㈱荻野工業所,,ｵｷﾞﾉｺｳｷﾞｮｳｼｮ,480-0105,愛知県丹羽郡扶桑町南山名字新津14,,0587-93-7321,0587-93-7307,,182,鈴木正博,82,池田千琴,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,20,翌々月,10,一律条件,\0,入金(滋賀工場),,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,3000,,発行:郵送,通常,納品書,0587-93-7307,,,1556,1556,1556,1556,,通常,通常,91,,荻野圭三,愛知県丹羽郡扶桑町南山名字新津,板金加工,,,SS SUS,,"\10,000",5,"\9,000",\0,"\100,000",,大垣共立 扶桑,,,双葉ステンレス工業,,,近藤工業,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,35.363075,136.897339,15/06/10
1557,大隅産業㈱,大隅産業㈱,,ｵｵｽﾐｻﾝｷﾞｮｳ,458-0801,愛知県名古屋市緑区鳴海町字下汐田112,,052-629-3361,052-629-3021,,63,川島佑一,0,*,T5180001034850,,3,名古屋,301,(名古屋)営業３Ｇ,,-1,,31,翌月,31,一律条件,\0,,125,,,,,あり,非課税,,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,,,,,,通常,通常,0,0,,,,,,,,\0,0,\0,\0,\0,31,,,,,,,,,,31,翌月,25,\0,支払手形(りそな),125,振込,27,,請求書,四捨五入,切捨,自動送信しない,,,"9,001",0,,0,0,B5,35.073803,136.940948,16/03/11
1558,㈲大森商会,㈲大森商会,,ｵｵﾓﾘｼｮｳｶｲ,491-0013,愛知県一宮市北小渕北浦13,,0586-83-1122,0586-76-4222,,182,鈴木正博,82,池田千琴,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,-1,20,当月,31,一律条件,\0,入金(滋賀工場),,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,500,,PDF,PDF,納品書,0586-76-4222,,,1558,1558,1558,1558,,通常,通常,93,0,島津隆司,愛知県一宮市北方町北方字西泉屋郷168-1,機械部品加工,,,SS　SUS　アルミ,1976/4,"\3,000",2,"\1,100",\0,\0,20,大垣共立　木曽川,,,,,,マイワークス,,,31,翌月,25,\0,振込,,振込,27,,請求書,四捨五入,四捨五入,自動送信しない,,,85,0,,0,0,B5,35.3078,136.834122,16/03/25
1559,㈱オカダ,㈱オカダ,,ｵｶﾀﾞ,485-0013,愛知県小牧市新町2-7,,0568-73-4104,0568-77-4866,,182,鈴木正博,82,池田千琴,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,20,翌月,25,一律条件,\0,振込,,送金(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,2000,,発行:郵送,通常,納品書,0568-77-4866,,,1559,1559,1559,1559,,通常,通常,91,0,岡田　勝弘,愛知県小牧市文津16-1,製缶板金業(建築関係),,,SUS304,1979/4,"\10,000",5,"\5,000",\0,"\60,000",20,三菱東京UFJ　小牧,,,セキノ興業,辰巳鋼業　初穂商事,小田鋼機　豊商,高田工業所,セキノ興産　フタバセイキ,横瀬板金工業所　マツナガ,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,35.297619,136.924744,16/09/16
1560,㈱大野ステンレス工業,㈱大野ステンレス工業,,ｵｵﾉｽﾃﾝﾚｽｺｳｷﾞｮｳ,486-0935,愛知県春日井市森山田町82-2,,0568-31-0853,0568-31-0971,,182,鈴木正博,82,池田千琴,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,25,翌月,31,以上/未満,\100,受取手形(裏書),180,送金(本社),入金(滋賀工場),,振込(滋賀),あり,請求書,-1,四捨五入,四捨五入,印字しない,3000,,発行:郵送,通常,納品書,0568-31-0971,,,1560,1560,1560,1560,,通常,通常,85,0,大野俊一,愛知県春日井市町屋町3978-5,製缶鈑金,ﾀﾞｸﾄ,,SUS304　SS,1987/4,"\10,000",13,\0,\0,"\100,000",25,名古屋　春日井,,,小田鋼機,,,商社,ﾀﾞｸﾄ屋,建築屋,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,35.222099,136.952759,17/02/16
1561,㈲オガタ鉄工所,㈲オガタ鉄工所,,ｵｶﾞﾀﾃｯｺｳｼｮ,486-0838,愛知県春日井市弥生町1642,,0568-81-2674,0568-84-7473,,182,鈴木正博,82,池田千琴,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,20,翌月,20,一律条件,\0,振込,,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,3000,,発行:郵送,通常,納品書,0568-84-7473,,,1561,1561,1561,1561,,通常,通常,91,0,大友徹哉,愛知県春日井市神屋町1390-23,製缶,特殊金物製作s加工,,SS　SUS　ｱﾙﾐ,1954/4,"\3,000",15,\0,\0,"\260,000",20,三菱東京UFJ　春日井,瀬戸信金　春日井,,孟鋼鉄㈱,白銅㈱,大和特殊鋼㈱,王子製紙㈱,王子公栄中部,北斗,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,35.238503,136.974258,17/03/30
1562,㈲太田工業,㈲太田工業,,ｵｵﾀｺｳｷﾞｮｳ,501-6003,岐阜県羽島郡岐南町平島4-5-1,,058-245-0993,058-248-0448,,17,加藤聖也,171,小松莉奈,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,31,翌月,31,以上/未満,\100,受取手形(発行),,集金(滋賀),振込,,振込(滋賀),あり,請求書,-1,四捨五入,四捨五入,印字しない,2000,,PDF,PDF,納品書,058-248-0448,,,1562,1562,1562,1562,,通常,通常,84,0,太田　淳也,岐阜県岐阜市鏡島西1-5-14,厨房機器製造,,,ステンレス,1985/3,"\3,000",11,"\9,000",\0,"\108,000",31,十六　岐南,大垣共立　岐南,岐阜信金　岐南,坂口金属　ホシザキ東海,一大鋼機,中部空調サービス,マルゼン,トーヨーキッチンスタイル,ケーワンシステム　ホシザキ東海,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,35.386955,136.811829,19/09/03
1563,㈱OKITA,㈱OKITA,,ｵｷﾀ,501-4204,岐阜県郡上市八幡町旭514,,0575-66-1888,0575-66-1881,,17,加藤聖也,171,小松莉奈,,,3,名古屋,301,(名古屋)営業３Ｇ,-1,,,31,翌月,20,一律条件,\0,振込,,振込(滋賀),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,2000,,発行:郵送,通常,納品書,,,,1563,1563,1563,1563,,通常,通常,10,0,置田憲治,岐阜県郡上市明宝二間手474,金属加工,プレス金型,機械部品,S45C　SS400　SUS　HMD5,1990/2,"\3,000",15,"\15,000",\0,\0,31,八幡信金(小野),大垣共立(八幡),十六(八幡),サンテック鋼材,アレックカワイ,榎本ハガネ　和銅,タカイコーポレーション,パンチ工業,三共オイルレス,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,35.775338,136.996644,21/08/05
15999,,,,,,,,,,,0,,0,*,,,,,0,,,,,31,翌月,31,一律条件,\0,,,,,,,あり,非課税,,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,,,,,,通常,通常,0,0,,,,,,,,\0,0,\0,\0,\0,31,,,,,,,,,,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,,,19/01/22
201001,藤田製作所　　　　　,藤田製作所,,ﾌｼﾞﾀｾｲｻｸｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201002,三雄興業　　　　　　,三雄興業,,ﾐﾂｵｺｳｷﾞｮｳ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201006,ユニチカ垂井　　　　,ユニチカ垂井,,ﾕﾆﾁｶﾀﾙｲ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,84,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201013,ミヤジマ　　　　　　,ミヤジマ,,ﾐﾔｼﾞﾏ,522-0300,滋賀県犬上郡多賀町1008,　　　　　　　　　　　　　　　,0749-48-0571,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,83,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,35.227596,136.314438,05/01/01
201014,本社　　　　　　　　,本社,,ﾎﾝｼｬ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201027,小菅鉄工所　　　　　,小菅鉄工所,,ｺｽｹﾞﾃｯｺｳｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201031,製品倉庫　　　　　　,製品倉庫,,ｾｲﾋﾝｿｳｺ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201033,渡辺鉄工所　　　　　,渡辺鉄工所,,ﾜﾀﾅﾍﾞﾃｯｺｳｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201034,西村機械製作所　　　,西村機械製作所,,ﾆｼﾑﾗｷｶｲｾｲｻｸｼﾞｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201035,㈱牧村製作所　　　　,㈱牧村製作所,,ﾏｷﾑﾗｾｲｻｸｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201036,㈱住商ハガネ　新倉庫,㈱住商ハガネ　新倉庫,,ｽﾐｼｮｳﾊｶﾞﾈ ｼﾝｿｳｺ,571,大阪府門真市三ツ島６３１　　　　　　,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.721611,135.59584,05/01/01
201037,岡本鉄工　　　　　　,岡本鉄工,,ｵｶﾓﾄﾃｯｺｳ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201039,川口鉄工所　　　　　,川口鉄工所,,ｶﾜｸﾞﾁﾃｯｺｳｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201041,中村機械製作所　　　,中村機械製作所,,ﾅｶﾑﾗｷｶｲｾｲｻｸｼﾞｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201042,青山鉄工所　　　　　,青山鉄工所,,ｱｵﾔﾏﾃｯｺｳｼｮ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
201043,岡田鉄工　　　　　　,岡田鉄工,,ｵｶﾀﾞﾃｯｺｳ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
206616,弁天上屋　　　　　　,弁天上屋,,ﾍﾞﾝﾃﾝｳﾜﾔ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
208001,宝梱包㈱　　　　　　,宝梱包㈱,,ﾀｶﾗｺﾝﾎﾟｳ,,京都府京都市伏見区横大路六反畑６－６,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.917721,135.728363,05/01/01
208002,㈲久世鉄工所　　　　,㈲久世鉄工所,,ｸｾﾞﾃｯｺｳｼｮ,,徳島県小松島市金磯町８－９０　,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,33.993046,134.604736,05/01/01
208003,大阪機船　　　　　　,大阪機船,,ｵｵｻｶｷｾﾝ,,大阪府大阪市大正区小林西1-30-2,大正内港6号上屋,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.645317,135.461868,05/01/01
208004,第一化学工業　　　　,第一化学工業,,ﾀﾞｲｲﾁｶｶﾞｸｺｳｷﾞｮｳ,,滋賀県神埼郡五ケノ庄町下日吉427,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
208005,第一工業製薬　　　　,第一工業製薬,,ﾀﾞｲｲﾁｺｳｷﾞｮｳｾｲﾔｸ,,京都府京都市下京区西七条東久保町５５,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.987606,135.740479,05/01/01
208006,高崎製紙　　　　　　,高崎製紙,,ﾀｶｻｷｾｲｼ,,大阪府大阪市東淀川区南江口3-15-58,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.755077,135.556076,05/01/01
208007,ロ－ム作業所気付土岐,ロ－ム作業所気付土岐衛,,ﾛ-ﾑｻｷﾞｮｳｼﾞｮｷﾂﾞｹﾄｷﾏﾓﾙ,,京都府京都市右京区西院西中水町24-1,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.994728,135.730377,05/01/01
208008,㈱イセヤ機械製作所　,㈱イセヤ機械製作所,,ｲｾﾔｷｶｲｾｲｻｸｼｮ,,京都府京都市伏見区竹田三ツ杭町６３　,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.955055,135.758698,05/01/01
208010,内藤鉄工所　　　　　,内藤鉄工所,,ﾅｲﾄｳﾃｯｺｳｼｮ,,京都府京都市南区九世東土川町200-22,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.944006,135.718886,05/01/01
208011,第６工場　　　　　　,第６工場,,ﾀﾞｲ6ｺｳｼﾞｮｳ,,京都府久世郡久御山町森川端1-1,,,,,0,,0,*,,,,,0,,,,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.897259,135.741913,05/01/01
